Volt,Frequency,S21,S31
3,574.54,-1.208,-16.656
3,579.81,-1.192,-16.424
3,585.09,-1.140,-16.024
3,590.36,-1.096,-15.804
3,595.63,-1.056,-15.568
3,600.9,-0.996,-15.252
3,606.18,-0.908,-14.960
3,611.45,-0.892,-14.700
3,616.72,-0.844,-14.524
3,0.622,-0.796,-14.320
3,627.27,-0.780,-14.132
3,632.54,-0.764,-13.908
3,637.81,-0.748,-13.776
3,643.09,-0.780,-13.608
3,648.36,-0.748,-13.392
3,653.63,-0.764,-13.300
3,658.9,-0.796,-13.116
3,664.18,-0.808,-12.940
3,669.45,-0.788,-12.796
3,674.72,-0.832,-12.656
3,680,-0.848,-12.508
3,685.27,-0.860,-12.420
3,690.54,-0.872,-12.288
3,695.81,-0.968,-12.228
3,701.09,-1.012,-12.248
3,706.36,-1.044,-12.412
3,711.63,-1.072,-12.736
3,716.9,-1.104,-13.188
3,722.18,-1.108,-13.676
3,727.45,-1.028,-14.064
3,732.72,-1.048,-14.344
3,738,-1.016,-14.700
3,743.27,-0.960,-14.768
3,748.54,-0.980,-14.788
3,753.81,-0.984,-14.616
3,759.09,-1.048,-14.480
3,764.36,-1.068,-14.248
3,769.63,-1.116,-14.128
3,774.9,-1.208,-13.908
3,780.18,-1.228,-13.748
3,785.45,-1.300,-13.644
3,790.72,-1.368,-13.504
3,796,-1.420,-13.396
3,801.27,-1.424,-13.196
3,806.54,-1.456,-13.028
3,811.81,-1.444,-13.004
3,817.09,-1.456,-12.856
3,822.36,-1.432,-12.752
3,827.63,-1.436,-12.616
3,832.9,-1.388,-12.440
3,838.18,-1.352,-12.320
3,843.45,-1.292,-12.228
3,848.72,-1.212,-11.964
3,854,-1.188,-11.828
3,859.27,-1.172,-11.748
3,864.54,-1.072,-11.556
3,869.81,-1.068,-11.496
3,875.09,-1.040,-11.304
3,880.36,-0.980,-11.176
3,885.63,-0.952,-11.104
3,890.9,-0.940,-10.928
3,896.18,-1,-10.964
3,901.45,-1.032,-10.820
3,906.72,-1.032,-10.804
3,912,-1.044,-10.736
3,917.27,-1.044,-10.636
3,922.54,-1.100,-10.596
3,927.81,-1.104,-10.504
3,933.09,-1.116,-10.468
3,938.36,-1.096,-10.392
3,943.63,-1.128,-10.416
3,948.9,-1.144,-10.368
3,954.18,-1.180,-10.348
3,959.45,-1.284,-10.332
3,964.72,-1.328,-10.320
3,970,-1.344,-10.252
3,975.27,-1.436,-10.280
3,980.54,-1.444,-10.240
3,985.81,-1.488,-10.292
3,991.09,-1.488,-10.344
3,996.36,-1.548,-10.460
4,500.72,-0.696,-23.012
4,506,-0.724,-22.688
4,511.27,-0.736,-22.364
4,516.54,-0.848,-21.816
4,521.81,-0.860,-21.488
4,527.09,-0.904,-20.952
4,532.36,-0.980,-20.544
4,537.63,-1.008,-20.156
4,542.9,-1.064,-19.728
4,548.18,-1.108,-19.432
4,553.45,-1.116,-18.996
4,558.72,-1.164,-18.684
4,564,-1.164,-18.496
4,569.27,-1.144,-18.232
4,574.54,-1.124,-17.900
4,579.81,-1.112,-17.664
4,585.09,-1.052,-17.308
4,590.36,-1.008,-16.912
4,595.63,-0.972,-16.644
4,600.9,-0.896,-16.416
4,606.18,-0.844,-16.064
4,611.45,-0.812,-15.896
4,616.72,-0.764,-15.672
4,0.622,-0.704,-15.488
4,627.27,-0.720,-15.312
4,632.54,-0.704,-15.080
4,637.81,-0.688,-14.956
4,643.09,-0.688,-14.836
4,648.36,-0.688,-14.560
4,653.63,-0.704,-14.436
4,658.9,-0.732,-14.288
4,664.18,-0.728,-14.104
4,669.45,-0.740,-13.904
4,674.72,-0.800,-13.788
4,680,-0.780,-13.624
4,685.27,-0.792,-13.472
4,690.54,-0.840,-13.320
4,695.81,-0.908,-13.276
4,701.09,-0.944,-13.256
4,706.36,-0.980,-13.448
4,711.63,-1.020,-13.836
4,716.9,-1.048,-14.360
4,722.18,-1.036,-14.968
4,727.45,-0.992,-15.392
4,732.72,-0.984,-15.836
4,738,-0.936,-16.176
4,743.27,-0.868,-16.336
4,748.54,-0.888,-16.332
4,753.81,-0.892,-16.168
4,759.09,-0.936,-15.984
4,764.36,-0.936,-15.700
4,769.63,-0.980,-15.504
4,774.9,-1.068,-15.264
4,780.18,-1.084,-15.060
4,785.45,-1.144,-14.960
4,790.72,-1.196,-14.716
4,796,-1.252,-14.552
4,801.27,-1.232,-14.460
4,806.54,-1.272,-14.316
